airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-12,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,6386
Air Asia,2019-05-21,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No info,9719
Indigo,2019-04-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No info,4174
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,No info,14815
Air India,2019-03-15,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,7082
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,04:25:00,805,1.0,No info,12767
Air India,2019-05-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No info,9929
Jet Airways,2019-04-01,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,6077
Indigo,2019-06-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No info,6069
Indigo,2019-06-01,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No info,12739
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:00:00,610,1.0,In-flight meal not included,11087
Indigo,2019-06-15,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No info,6818
Indigo,2019-04-12,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,5224
Multiple Carriers,2019-06-03,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No info,12192
Air India,2019-05-18,Kolkata,Banglore,16:45:00,12:30:00,1185,2.0,No info,15170
Air Asia,2019-05-15,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No info,3383
Air India,2019-06-09,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No info,12534
Jet Airways,2019-03-15,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,2071
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,21:20:00,935,1.0,No info,13817
Indigo,2019-04-01,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,5073
Air India,2019-06-03,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No info,10493
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Vistara,2019-03-27,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No info,4851
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,00:45:00,470,1.0,No info,26890
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12373
Air India,2019-06-01,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,12970
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No info,13292
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,No info,14151
Air India,2019-05-06,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No info,6121
Indigo,2019-03-27,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No info,2227
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,13994
Jet Airways,2019-05-09,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No info,15554
Indigo,2019-05-15,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No info,6979
Multiple Carriers,2019-03-27,Delhi,Cochin,10:45:00,19:15:00,510,1.0,No info,7154
Multiple Carriers,2019-03-09,Delhi,Cochin,04:00:00,12:55:00,535,1.0,No info,16259
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Jet Airways,2019-06-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,7229
Vistara,2019-05-09,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Spicejet,2019-06-24,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No info,12576
Jet Airways,2019-03-21,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,5963
Air India,2019-03-01,Banglore,New Delhi,10:30:00,17:45:00,435,2.0,Change airports,17461
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,13029
Spicejet,2019-03-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,3384
Spicejet,2019-06-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No info,3873
Spicejet,2019-04-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3971
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Air India,2019-05-09,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No info,10203
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,9663
Air India,2019-05-01,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,14848
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,10844
Jet Airways,2019-06-06,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No info,14714
Spicejet,2019-05-27,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3573
Jet Airways,2019-05-09,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,12373
Indigo,2019-05-18,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,2754
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,10262
Air India,2019-05-18,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No info,10623
Multiple Carriers,2019-06-09,Delhi,Cochin,03:50:00,11:30:00,460,1.0,No info,7408
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1410,1.0,No info,13759
Air Asia,2019-06-24,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,4282
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Goair,2019-06-12,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No info,7870
Air India,2019-04-01,Kolkata,Banglore,10:00:00,10:30:00,1470,3.0,No info,12954
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262
Indigo,2019-04-09,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No info,4174
Spicejet,2019-04-03,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Goair,2019-03-03,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No info,22794
Indigo,2019-03-21,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No info,6232
Spicejet,2019-05-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Air Asia,2019-05-01,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No info,5192
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,22:40:00,1580,1.0,No info,8452
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No info,16289
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No info,13067
Indigo,2019-06-01,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No info,7048
Vistara,2019-06-01,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No info,4878
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Indigo,2019-06-06,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4804
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,13377
Air India,2019-03-06,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No info,9417
Indigo,2019-05-21,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4804
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,In-flight meal not included,9314
Air India,2019-04-01,Kolkata,Banglore,17:30:00,08:55:00,925,1.0,No info,7893
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No info,16108
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No info,10953
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,1925,2.0,In-flight meal not included,7791
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,No info,14571
Spicejet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Spicejet,2019-05-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Jet Airways,2019-04-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Air Asia,2019-04-21,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No info,7452
Jet Airways,2019-03-21,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No info,12767
Air India,2019-05-24,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No info,9929
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,No info,14388
Multiple Carriers,2019-06-03,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,13587
Indigo,2019-03-21,Delhi,Cochin,04:45:00,15:30:00,645,1.0,No info,7738
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,9555
Air Asia,2019-05-15,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,5162
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,7740
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No info,8085
Multiple Carriers,2019-06-24,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,13377
Indigo,2019-05-21,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No info,3574
Air Asia,2019-03-18,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4384
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,In-flight meal not included,5963
Air Asia,2019-04-09,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,5162
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10031
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1410,1.0,In-flight meal not included,10031
Indigo,2019-06-06,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No info,3540
Air India,2019-05-15,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No info,8891
Indigo,2019-05-15,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No info,6027
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,6017
Indigo,2019-06-12,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,4823
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Multiple Carriers,2019-03-03,Delhi,Cochin,18:15:00,01:35:00,440,1.0,No info,18916
Air India,2019-03-15,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No info,3100
Indigo,2019-03-09,Banglore,New Delhi,15:40:00,20:35:00,295,1.0,No info,5226
Air India,2019-04-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No info,3100
Air India,2019-05-06,Kolkata,Banglore,05:50:00,13:15:00,445,2.0,No info,7662
Indigo,2019-06-09,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No info,3943
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,21:20:00,935,1.0,In-flight meal not included,7832
Air India,2019-06-03,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No info,12488
Indigo,2019-06-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Air India,2019-05-21,Delhi,Cochin,09:30:00,23:00:00,810,1.0,No info,8907
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No info,14676
Indigo,2019-05-27,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No info,8784
Jet Airways,2019-03-27,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,6017
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No info,10953
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,04:45:00,540,1.0,No info,13759
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,8073
Indigo,2019-04-24,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No info,4804
Spicejet,2019-04-06,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,4423
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No info,8137
Spicejet,2019-03-15,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No info,6309
Jet Airways,2019-03-03,Delhi,Cochin,23:05:00,18:50:00,1185,1.0,No info,18253
Air India,2019-06-24,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,10975
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,23:35:00,1025,1.0,In-flight meal not included,8586
Indigo,2019-03-18,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No info,3858
Spicejet,2019-03-09,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No info,6300
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10675
